id,label,population_change
1,Tokyo,3.09
2,New Delhi,9.76
3,Sao Paulo,3.87
4,Mumbai,5.9
5,Mexico City,3.42
6,New York,2.64
7,Shanghai,7.36
8,Kolkata,3.39
9,Dhaka,5.94
10,Karachi,4.47
11,Buenos Aires,2.04
12,Los Angeles,1.42
13,Beijing,4.66
14,Rio de Janeiro,1.78
15,Manila,2.79
16,Osaka-Kobe,0.22
17,Cairo,1.5
18,Lagos,8.77
19,Moscow,1.43
20,Istanbul,3.16
21,Paris,0.78
22,Seoul,-0.71
23,Chongqing,0.0
24,Jakarta,0.61
25,Chicago,1.45
26,Shenzhen,7.93
27,Lima,2.24
28,Guangzhou,8.16
29,Kinshasa,0.0
30,London,0.86
31,Tianjin,7.28
32,Hong Kong,-5.68
33,Tehran,-6.36
34,Chennai,-5.34
35,Bangkok,-5.89
36,St. Petersburg,-4.99
37,Madrid,0.0
38,Philadelphia,0.0
39,Detroit,0.0
